date,open,close,high,low,volume,money
2025-06-13,20.87,21.01,21.58,20.62,5389444.0,114193486.13
2025-06-16,20.71,21.2,21.8,20.71,3615369.0,77539868.28
2025-06-17,21.16,20.33,21.27,20.25,3663457.0,75223511.23
2025-06-18,20.44,20.13,20.7,20.07,1714033.0,34693158.32
2025-06-19,20.15,19.89,20.78,19.82,2269568.0,45841354.0
2025-06-20,19.94,19.18,20.08,19.13,1991121.0,38785860.89
2025-06-23,19.05,19.84,19.84,19.02,1648751.0,32160274.01
2025-06-24,19.62,20.2,20.24,19.62,2735331.0,54691176.42
2025-06-25,20.28,20.65,21.4,20.0,6977598.0,145031527.13
2025-06-26,20.75,20.66,21.35,20.52,5092712.0,106184979.37
2025-06-27,20.55,20.38,21.17,20.26,5023794.0,103595553.19
2025-06-30,20.39,20.39,20.54,20.01,4835818.0,98155001.63
2025-07-01,20.51,19.63,20.53,19.34,5685686.0,111959307.12
2025-07-02,19.47,19.25,19.63,19.12,2874629.0,55311687.47
2025-07-03,19.34,19.26,19.44,19.14,1882837.0,36256199.18
2025-07-04,19.32,19.2,19.51,19.06,2829696.0,54538462.22
2025-07-07,19.09,18.88,19.27,18.8,3022450.0,57285520.21
2025-07-08,18.9,19.17,19.19,18.77,2740152.0,52239952.94
2025-07-09,19.22,19.36,19.4,18.9,3190350.0,61021905.53
2025-07-10,19.36,19.15,19.36,19.05,2720094.0,52065761.75
2025-07-11,19.1,19.48,19.65,18.98,3537298.0,68742651.19
2025-07-14,19.37,19.14,19.55,19.1,3000355.0,57648223.15
2025-07-15,19.14,19.55,19.66,18.76,4581970.0,88055613.71
2025-07-16,19.97,20.17,20.39,19.5,5786326.0,116009752.89
2025-07-17,19.81,20.12,20.53,19.48,6307634.0,125951314.69
2025-07-18,20.25,19.94,20.39,19.82,3501202.0,70213618.09
2025-07-21,19.94,19.61,19.97,19.51,3963796.0,78083293.22
2025-07-22,19.56,18.9,19.64,18.8,6250971.0,119312697.24
2025-07-23,18.9,18.88,19.14,18.77,3742448.0,70886094.76
2025-07-24,18.88,19.07,19.13,18.8,2515024.0,47826124.77
2025-07-25,19.07,19.19,19.7,19.02,5803281.0,111906461.56
2025-07-28,19.3,19.37,19.53,18.9,5792618.0,110985897.33
2025-07-29,19.39,19.79,20.22,19.11,6733328.0,132232011.13
2025-07-30,19.79,19.28,19.88,19.16,5488932.0,106721260.55
2025-07-31,19.22,20.8,21.32,19.22,15338147.0,310914925.26
2025-08-01,21.88,21.12,22.28,20.22,13829911.0,289181536.89
2025-08-04,20.5,21.42,21.49,20.27,8604342.0,180141843.91
2025-08-05,21.11,20.99,21.49,20.77,5417001.0,113889262.54
2025-08-06,21.0,21.38,21.55,20.77,6337311.0,134176072.89
2025-08-07,21.41,21.29,21.55,21.0,5042774.0,107122333.43
2025-08-08,21.3,20.7,21.4,20.61,5375900.0,111852972.39
2025-08-11,20.78,21.07,21.26,20.75,4552413.0,95769829.92
2025-08-12,21.07,20.87,21.16,20.7,3573334.0,74518370.03
2025-08-13,20.96,20.9,21.04,20.75,3651959.0,76217600.9
2025-08-14,20.8,20.08,20.97,19.95,6909376.0,140673706.22
2025-08-15,19.97,20.41,20.47,19.81,4645884.0,94080452.25
2025-08-18,20.4,21.68,22.0,20.3,9352581.0,199750190.38
2025-08-19,21.69,21.56,21.77,21.23,6014420.0,129508057.79
2025-08-20,21.5,21.89,21.92,21.03,5131786.0,110081940.83
2025-08-21,21.95,21.95,22.5,21.78,8040130.0,177317896.77
2025-08-22,21.97,22.37,22.75,21.91,7922513.0,177491550.2
2025-08-25,22.37,22.3,22.67,21.79,7570970.0,168108482.52
2025-08-26,22.5,21.89,22.5,21.89,5993447.0,132627257.45
2025-08-27,21.96,21.55,22.58,21.51,9321137.0,205893734.34
2025-08-28,21.59,22.44,23.07,21.1,11581984.0,255522180.36
2025-08-29,22.44,22.15,22.67,21.75,8715904.0,192912056.46
2025-09-01,22.46,22.91,23.21,22.14,7916422.0,178760330.63
2025-09-02,22.42,21.66,22.55,21.37,10053774.0,219763033.34
2025-09-03,21.72,20.98,22.08,20.87,4298166.0,92328932.45
2025-09-04,21.0,20.12,21.12,19.75,5230342.0,107062110.69
2025-09-05,20.0,20.5,20.5,19.78,4194951.0,84689672.06
2025-09-08,20.52,21.0,21.25,20.2,5562082.0,115728509.29
2025-09-09,21.01,20.29,21.25,20.27,3353626.0,69366513.14
2025-09-10,20.25,20.24,20.75,20.18,2882195.0,58857410.71
2025-09-11,20.4,20.8,20.95,19.97,3688212.0,75875455.08
2025-09-12,20.82,20.68,21.2,20.48,3379927.0,70313449.24
2025-09-15,20.62,20.91,21.36,20.48,6222512.0,130615175.6
2025-09-16,20.9,20.9,21.1,20.58,3344352.0,69866879.78
2025-09-17,20.86,20.39,20.99,20.26,6136432.0,125741726.76
2025-09-18,20.5,20.19,21.29,20.03,7846354.0,161881951.36
2025-09-19,20.21,19.94,20.88,19.92,6934671.0,140486866.55
2025-09-22,19.93,19.67,20.18,19.45,6356335.0,126221117.0
2025-09-23,19.7,19.17,19.7,18.68,6412976.0,122338710.01
2025-09-24,19.17,19.33,19.53,19.01,6195464.0,119532689.65
2025-09-25,20.06,20.2,20.44,19.87,8784822.0,177056466.2
2025-09-26,20.1,19.83,20.3,19.58,5623588.0,112047190.34
2025-09-29,19.95,19.88,20.17,19.45,3692805.0,73300758.49
2025-09-30,20.02,21.9,22.1,19.9,12121387.0,256823767.01
2025-10-09,22.05,21.49,22.25,21.3,8075976.0,176057802.81
2025-10-10,21.49,20.15,21.59,20.02,7569811.0,156112152.82
2025-10-13,19.69,21.5,21.58,19.38,11218090.0,235742032.59
2025-10-14,21.89,20.94,21.94,20.68,6953989.0,147778511.48
2025-10-15,21.03,20.82,21.47,20.49,6034187.0,126155064.21
2025-10-16,20.75,20.4,20.84,20.18,4074901.0,83154552.73
2025-10-17,20.4,19.33,20.4,19.29,5587190.0,110124210.2
2025-10-20,19.7,19.34,20.18,19.24,4422924.0,86913201.85
2025-10-21,19.33,19.34,19.61,19.22,3635660.0,70308250.67
2025-10-22,19.22,19.06,19.33,19.0,3006149.0,57456601.69
2025-10-23,19.01,19.16,19.2,18.64,2951264.0,55701816.19
2025-10-24,19.22,19.82,20.0,19.08,5018054.0,98270029.52
2025-10-27,19.79,19.6,19.92,19.4,3795894.0,74523198.63
2025-10-28,19.65,19.42,20.25,19.32,4728489.0,93360239.36
2025-10-29,19.38,19.28,19.8,19.2,3354931.0,65024901.01
2025-10-30,19.28,19.16,19.8,18.92,4843111.0,93826322.15
2025-10-31,19.1,20.56,20.87,19.1,10323596.0,208187039.77
2025-11-03,20.51,20.39,20.65,20.15,4014237.0,81845384.11
2025-11-04,20.27,19.99,20.43,19.72,3087147.0,61590985.85
2025-11-05,19.7,19.59,19.98,19.38,2612753.0,51320288.13
2025-11-06,19.9,19.55,19.9,19.35,2937946.0,57308639.62
